barcode,name,calories,protein,fat,carbs,brand,weight
4820236270932,"Гарячий шоколад Green Leaf Ванільний із солодкою стевією 150г",193,6.2,10.1,11,"Green Leaf","200"
4820236270819,"Псиліум Green Leaf 150г",180,1.1,0.5,88,"Green Leaf","150"
4820270340639,"Замінник цукру Health Hunter Сукралоза в таблетках 200шт 12г",0,0,0,0,"Health Hunter","12"
5902899140759,"Сир копчений Hochland Гауда нарізаний 48% 135г",352,25,28,0,"Hochland","135"
8436564822505,"Сир La Antigua Tierno з овечого молока безлактозний 250г",361.5,21.1,30.8,1,"La Antigua","250"
7340048607742,"Вино Mare Magnum Gloria Grillo Organic біле сухе 13% 0,75л",67,0,0,0,"Mare Magnum",""
4820254402339,"Коктейль Minions Бабл-гам безлактозний 2% 200г",63.6,2.8,2,8.6,"Minions","200"
4820254402353,"Коктейль Minions Банан безлактозний 2% 200г",0,2.8,2,9.6,"Minions","200"
5900512983424,"Сметана Mlekovita безлактозна 18% 200г",0,0,0,0,"Mlekovita","200"
4820216950021,"Борошно Ms.Tally рисова 1кг",366,6,1.4,81,"Ms.Tally","1000"
5902166712382,"Молоко Orient Taste кокосове 0,4л",183,0.7,18,3.9,"Orient Taste",""
5053990168637,"Чипси Pringles Passport Italian Style картопляні зі смаком піци пепероні 165г",524,6.6,30,55,"Pringles","165"
4028491407173,"Печиво Quickbury з темним шоколадом та кремом брауні 128г",511,5.9,29,53,"Quickbury","128"
4028491407524,"Печиво Quickbury донати з арахісом та карамеллю 128г",476,7.6,28,59,"Quickbury","128"
4028491407531,"Печиво Quickbury донати з кокосом та карамеллю 128г",483,4.2,30,62,"Quickbury","128"
4820211260613,"Хлібці Sunfill З грибами 100г",630,19.5,42.4,31.7,"SUNFILL","100"
4820179683554,"Борошно рисове Sacramento 900г",330,7,1,71.4,"Sacramento","900"
5900617042774,"Печиво Sante злакове з чорницею 50г",421,0,0,0,"Sante","50"
8008698010075,"Макаронні вироби Schar Fusilli без глютену 250г",363,8.3,1.5,78,"Schar","250"
8008698010051,"Макаронні вироби Dr.Schar пенне без глютену 250г",363,8.3,1.5,78,"Schar","250"
8008698010402,"Печиво Dr.Schar Maria 125г",449,2.4,14,77,"Schar","125"
8008698010037,"Макаронні вироби Schar Spagetti без глютену 250г",363,8.3,1.5,78,"Schar","250"
3838824208985,"Шампунь Schauma Men Intenive для волосся з надмірною лупою 400мл",0,0,0,0,"Schauma",""
8684553100053,"Груша Shemsana сушена 30г",346.5,2.7,0.5,89.3,"Shemsana","30"
8684553100084,"Диня Shemsana сушена 30г",337,5.1,0.4,82.7,"Shemsana","30"
8684553100381,"Ківі Shemsana сушений 15г",348.1,5.2,2.7,0,"Shemsana","15"
8684553100411,"Банан Shemsana сушений 15г",362,4.5,0.3,82.1,"Shemsana","15"
8684553100336,"Персик Shemsana сушений 30г",340,6.2,0.3,84.3,"Shemsana","30"
4820211260453,"Полуниця Смартік сублімована шматочки 12,5г",381,4.9,2.5,84.9,"Smartik","12.5"
4840748006058,"Сік Smartik яблучно-виноградний 200мл",55,0.4,0.1,13,"Smartik",""
2000016961959,"Напій газований Sprite Zero Sugar 1,25л",0,0,0,0,"Sprite",""
4820130350044,"Екстракт Stevia з листя стевії солодкий 100 таблеток",0,0,0,0,"Stevia",""
3800065713467,"Печиво Sweet Plus без цукру 150г",423,7.1,19,63,"Sweet Plus","150"
3800065718592,"Печиво Sweet Plus з какао без цукру з підсолоджувачем 100г",432,6.1,18,72,"Sweet Plus","100"
3800065781107,"Трубочки вафельні Sweet Plus з какао кремом без цукру 120г",454,4.5,25,62,"Sweet Plus","120"
3800065784351,"Вафлі Sweet Plus Rydo з арахісом без цукру 100г",501,9.2,32,55,"Sweet Plus","100"
3800065784474,"Вафлі Sweet Plus протеїнові з арахісом 48г",527,29,36,30,"Sweet Plus","48"
3800065718585,"Печиво Sweet Plus з кокосом без цукру 100г",452,6,20,70,"Sweet Plus","100"
4820106592539,"Протеїн Vansiton Plant Соєвий ізолят Лісовий горіх 900г",350,85,1.2,9.4,"Vansiton","900"
4820253110211,"Ковбаса Vegitaliya Пепероні веганська 330г",198,20.9,12,8.4,"Vegitaliya","330"
4820253110297,"Філе рослинне Vegurman в соусі болоньєзе 330г",170,12,8,24,"Vegurman","330"
4820253110280,"Філе рослинне Vegurman в італійському соусі 330г",243,15,10,24,"Vegurman","330"
4820212571961,"Соус рослинний Wanted Vegan Смачний 180г",305.3,0,30,8.8,"Wanted Vegan","180"
4820212572012,"Заправка рослинна Wanted Vegan Сметанка 180г",161,0,15,6.5,"Wanted Vegan","180"
4820212571978,"Соус рослинний Wanted Vegan Майонез 30% 180г",305.3,0,30,8.8,"Wanted Vegan","180"
4820212571923,"Соус рослинний Wanted Vegan Бургерний 180г",190.7,0.2,14.5,14.9,"Wanted Vegan","180"
4823105816224,"Драже АВК Фундук у молочному  шоколаді  з фруктозою 75г",610,9.5,47,36,"АВК","75"
4823088407716,"Цукерки Бісквіт-Шоколад Вафельні на фруктозі з арахісом 200г",540,5.7,35.1,50.8,"Бісквіт-Шоколад","200"
4820007054440,"Козинак Жайвір соняшниковий на фруктозі зі стевією 65г",470,12,30,41,"Жайвір","65"
4820113926518,"Батончик-мюслі Здоровий перекус Груша-насіння чіа 25г",285,6,12,36,"Здоровий Перекус","25"
4820269770058,"Печиво Кохана протеїнове шоколадне 50г",392.8,12.3,15.7,51,"Кохана","50"
2000016867367,"Сир Новгород-Сіверський Фламандський 45%",318,23.7,24.8,0,"Новгород-Сіверський",""
4820006011437,"Борошно кукурудзяне Сквирянка тонкого помелу без глютену 1кг",356,6.1,1.3,80.4,"Сквирянка","1000"
4820078232037,"Батончик енергетичний Солодкий світ Фруктовий хліб Какао-апельсин 60г",344,7.9,12.3,50.4,"Сладкий Мир","60"
4820078320208,"Батончик енергетичний Солодкий Світ Фруктовий хліб інжир-соняшник 60г",364,8.6,14.4,49.9,"Сладкий Мир","60"
4820199501630,"Суміш молочна суха Малютка Преміум 2 для дітей з 6 місяців 350г",500,11.5,26,55,"малютка","350"
2000000052373,"Яйце куряче 1шт",157,12.7,11.5,0.7,"без тм",""
4823071325553,"Яйця курячі Eurogroup С0 10шт",160,13,11.5,0.9,"Eurogroup",""
4823071312331,"Яйця курячі Українська Зірка 10шт",160,13,11.5,0.9,"Українська Зірка",""
4019300173075,"Крем-сир Exquisa з часником 175г",173,6.5,14.1,4.5,"Exquisa","175"
4067617003692,"Пудинг Puddis ваніль з шоколадним соусом 125г",0,0,0,0,"Puddis","125"
5902208001160,"Сир Ryki Сметанковий нарізаний 135г",370,25,30,0,"Ryki","135"
4820283370050,"Яйця курячі Zlata Kladka С0 10шт",155,12,10.2,0.8,"Zlata Kladka",""
4820003256725,"Сметана Галичина 15% 300г",159,3,15,3,"Галичина","300"
4823039010750,"Сир плавлений Наш Молочник Вершковий 70г",208.2,6.9,15.6,10.1,"Наш Молочник","70"
4750072510940,"Сирок глазурований Baltais Funnel Cake 36г",346,8.4,22.4,27.8,"Baltais","38"
4750072513224,"Сирок глазурований Baltais Marmelado 38г",345,11.7,24.4,19.3,"Baltais","38"
4750072513378,"Сирок глазурований Baltais Plombino 38г",370,11.9,24.7,25.1,"Baltais","38"
0000080401230,"Масло De Paoli Gran Bonta вершкове 82% 125г",752,0.6,83,0.7,"De Paoli","125"
8001733103053,"Масло De Paoli Gran Bonta вершкове 82% 250г",752,0.6,83,0.7,"De Paoli","250"
4770299403917,"Кульки Dziugas з хрусткого, сушеного твердого сиру зі смаком карамелізованої цибулі 45% 40г",568,44,42,3.4,"Dziugas","40"
8718700499445,"Сир Eru вершковий з трюфелем 200г",243,14,20,1.8,"Eru","200"
8718700499452,"Сир Eru вершковий з сиром 200г",266,17,22,0.1,"Eru","200"
0000087187359,"Сир Eru вершковий 48% 100г",243,14,20,1.7,"Eru","100"
8718700496222,"Сир Eru вершковий копчений 100г",245,13,20,3.3,"Eru","100"
8718700499476,"Сир Eru вершковий козячий 100г",257,17,21,0.1,"Eru","100"
8718700499469,"Сир Eru вершковий з сиром з пліснявою 200г",268,14,23,1.3,"Eru","200"
0000087187526,"Сир Eru вершковий з соусом самбал 100г",248,16,20,1.9,"Eru","100"
2000000555171,"Сир Eurogroup Мармуровий 45%",340,25.2,24.6,0.5,"Eurogroup",""
2000000726007,"Сир Eurogroup голландський 45% ваговий",352,27.7,26.8,0,"Eurogroup",""
2596360000005,"Сир Eurogroup Пікантний з зеленню та часником",332,21,27.5,0.7,"Eurogroup",""
4019300174607,"Десерт сирк. Exquisa 375г з вівс. пласт. (Німеччина)",0,0,0,0,"Exquisa","375"
4820050461479,"Молоко Framo ультрапастеризоване 2,6% 1л",54,2.9,2.6,4.7,"Framo",""
4820050461585,"Сметана Framo 15% 350г",158,2.9,15,3,"Framo","350"
4820050462056,"Сметана Framo 20% 350г",206,2.8,20,3,"Framo","350"
4820050461486,"Молоко Framo ультрапастеризоване 3,3% 1л",60,2.8,3.3,4.7,"Framo",""
4820029142552,"Сир Good Milk Фіта 50% 200г",223.2,9.5,20.4,0.5,"Good Milk","200"
5900512300535,"Молоко Mlekovita з ванільним смаком 200мл",62,3,1.5,9,"Mlekovita",""
4025500135614,"Молочний шейк Muller Банановий 1,5% 400мл",0,0,0,0,"Muller",""
0000040255774,"Йогурт Muller з бананом та пластівцями в шоколаді 3,8% 150г",123,4,4.6,15.6,"Muller","150"
4025500308339,"Шейк молочний Muller Protein Zero Фісташка 400г",64,6.5,1.8,5.4,"Muller","400"
4040900100833,"Сир Paladin Моцарелла 45% 125г",153,18,18.5,1.5,"Paladin","125"
